,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_learning_rate,params_max_bin,params_random_strength,state
45,45,0.43167245601324505,2023-06-10 16:08:31.289010,2023-06-10 16:08:34.997732,0 days 00:00:03.708722,0.01737770170752031,,6,Lossguide,963,12.205188337664257,0.001878999656548803,2,45,COMPLETE
46,46,0.4355059631872146,2023-06-10 16:08:34.998602,2023-06-10 16:08:36.981175,0 days 00:00:01.982573,0.029668283290418807,,10,Lossguide,1071,1.5461603480804138,0.0034137968367118805,4,35,COMPLETE
47,47,0.33763682587059807,2023-06-10 16:08:36.981875,2023-06-10 16:08:39.913578,0 days 00:00:02.931703,0.07308891345378485,,4,Depthwise,1153,38.93205367514296,0.0010177149134863984,64,64,COMPLETE
48,48,0.4832733865856583,2023-06-10 16:08:39.914290,2023-06-10 16:08:44.050038,0 days 00:00:04.135748,0.022329949249762643,Plain,8,SymmetricTree,1040,3.419819791654113,0.001940058857663532,3,74,COMPLETE
49,49,0.4240118853502295,2023-06-10 16:08:44.050815,2023-06-10 16:08:46.357388,0 days 00:00:02.306573,0.013157093179484464,,9,Lossguide,302,88.73591062849586,0.0028476312227911226,5,54,COMPLETE
50,50,0.31319740795286266,2023-06-10 16:08:46.358131,2023-06-10 16:08:51.406702,0 days 00:00:05.048571,0.0556008222578983,,9,Lossguide,926,9.608426265549573,0.0012735058599265933,64,47,COMPLETE
51,51,0.31111984399233067,2023-06-10 16:08:51.408220,2023-06-10 16:08:57.802877,0 days 00:00:06.394657,0.09695805708451492,,10,Lossguide,1116,29.898020675463076,0.0013706697568151593,64,62,COMPLETE
52,52,0.3183933202454164,2023-06-10 16:08:57.803800,2023-06-10 16:09:03.777351,0 days 00:00:05.973551,0.0910475683767632,,10,Lossguide,1088,34.977103846650465,0.0012545885260024934,64,65,COMPLETE
53,53,0.31161817485237914,2023-06-10 16:09:03.778129,2023-06-10 16:09:08.970575,0 days 00:00:05.192446,0.17334046591080016,,10,Lossguide,1031,13.812837807920648,0.0019085977097664283,64,60,COMPLETE
54,54,0.3353615849319648,2023-06-10 16:09:08.971335,2023-06-10 16:09:11.639699,0 days 00:00:02.668364,0.1807821583626502,,10,Lossguide,1028,1.2583177940797343,0.001842141597930306,64,69,COMPLETE
55,55,0.3243141750027163,2023-06-10 16:09:11.644233,2023-06-10 16:09:14.633213,0 days 00:00:02.988980,0.05416823393134122,,9,Lossguide,977,3.9601446907699094,0.00266970879527945,64,52,COMPLETE
56,56,0.3187431941016893,2023-06-10 16:09:14.633832,2023-06-10 16:09:18.190132,0 days 00:00:03.556300,0.31089220796880007,,6,Lossguide,1164,33.87712612528689,0.004097923764117969,10,41,COMPLETE
57,57,0.34372229222277534,2023-06-10 16:09:18.190767,2023-06-10 16:09:19.962807,0 days 00:00:01.772040,0.09322403917150156,,10,Lossguide,616,0.3519161794677519,0.002164337965504234,64,100,COMPLETE
58,58,0.4476337526594796,2023-06-10 16:09:19.963433,2023-06-10 16:09:21.802653,0 days 00:00:01.839220,0.2064723533558169,,10,Lossguide,890,0.5601176338941816,0.0030768216268271266,4,77,COMPLETE
59,59,0.44231571480250687,2023-06-10 16:09:21.803279,2023-06-10 16:09:25.997911,0 days 00:00:04.194632,0.02701435389126414,,9,Lossguide,1059,7.50904739262632,0.0016269081466958385,3,61,COMPLETE
60,60,0.3565572951036902,2023-06-10 16:09:25.998607,2023-06-10 16:09:27.259483,0 days 00:00:01.260876,0.3574363856207653,,10,Lossguide,1176,0.13488825958315462,0.005178102322391001,20,49,COMPLETE
61,61,0.30615136691232325,2023-06-10 16:09:27.260216,2023-06-10 16:09:33.166748,0 days 00:00:05.906532,0.04284094802880079,,10,Lossguide,1125,19.940540412789556,0.0012869914636959327,64,58,COMPLETE
62,62,0.31901747089197796,2023-06-10 16:09:33.167373,2023-06-10 16:09:38.881361,0 days 00:00:05.713988,0.04361978948635926,,10,Lossguide,1126,48.10517738538001,0.0013054968886885023,64,54,COMPLETE
63,63,0.3072402196276107,2023-06-10 16:09:38.882081,2023-06-10 16:09:43.800022,0 days 00:00:04.917941,0.08226497557083104,,10,Lossguide,1028,16.990747507083704,0.00184254155532017,64,65,COMPLETE
64,64,0.30309558527884595,2023-06-10 16:09:43.800754,2023-06-10 16:09:49.361404,0 days 00:00:05.560650,0.010555603203274238,,10,Lossguide,1066,62.03019440406267,0.0024063962414054216,64,66,COMPLETE
65,65,0.3072078958166709,2023-06-10 16:09:49.362104,2023-06-10 16:09:55.098303,0 days 00:00:05.736199,0.012077143221952141,,9,Lossguide,1137,95.488186643836,0.0024924011100667383,64,66,COMPLETE
66,66,0.42565548088966026,2023-06-10 16:09:55.099029,2023-06-10 16:10:00.868098,0 days 00:00:05.769069,0.011978114588561725,,9,Lossguide,1146,95.2894681864342,0.0023367093851766984,2,81,COMPLETE
67,67,0.4297461419951458,2023-06-10 16:10:00.868839,2023-06-10 16:10:37.936350,0 days 00:00:37.067511,0.019870333448615614,Ordered,9,SymmetricTree,1053,71.50447818015627,0.0036881972055416517,64,66,COMPLETE
68,68,0.4202008543554998,2023-06-10 16:10:37.937074,2023-06-10 16:10:40.323672,0 days 00:00:02.386598,0.01029422618905095,,10,Depthwise,985,2.134830638307873,0.002572806470033361,5,71,COMPLETE
69,69,0.3181617391869793,2023-06-10 16:10:40.324296,2023-06-10 16:10:44.473460,0 days 00:00:04.149164,0.025678236224464995,,10,Lossguide,1191,5.795320374877146,0.001750150682874511,64,78,COMPLETE
70,70,0.30105857312408957,2023-06-10 16:10:44.474085,2023-06-10 16:10:47.939704,0 days 00:00:03.465619,0.014878863349685394,,7,Lossguide,1016,47.891310406206735,0.004142784585007697,32,66,COMPLETE
71,71,0.31057959388886236,2023-06-10 16:10:47.940324,2023-06-10 16:10:52.420718,0 days 00:00:04.480394,0.01594137017190094,,7,Lossguide,1015,17.352237450653323,0.002183867332681575,32,66,COMPLETE
72,72,0.29815052644481554,2023-06-10 16:10:52.421304,2023-06-10 16:10:57.657451,0 days 00:00:05.236147,0.03639812704702456,,7,Lossguide,1077,62.249460815818715,0.003007845501592621,32,71,COMPLETE
