,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
1894,1894,0.2628459261741831,2023-06-10 18:45:02.434611,2023-06-10 18:45:02.714786,0 days 00:00:00.280175,0.9454732476824688,3,0.6842174956906324,0.30506716071300793,7.280131150806039e-06,0.29705319289005705,69,50,0.09211984147335317,355,207,COMPLETE
3890,3890,0.263462026239929,2023-06-10 18:58:23.752372,2023-06-10 18:58:24.332628,0 days 00:00:00.580256,0.9489342373738292,6,0.6616206446496482,9.999843828987505e-07,0.00029386772643209504,0.29983086892341854,57,63,0.0024794710889745044,516,201,COMPLETE
2887,2887,0.263525864610627,2023-06-10 18:50:31.023054,2023-06-10 18:50:31.551912,0 days 00:00:00.528858,0.9242139402162611,5,0.6437063712019389,4.89630012616874e-06,3.060004776078516e-08,0.2612907117057849,51,68,0.0981534934210628,466,220,COMPLETE
4630,4630,0.26383505832605936,2023-06-10 19:05:37.597898,2023-06-10 19:05:38.409852,0 days 00:00:00.811954,0.9587103748092589,5,0.6910728464396911,0.0016886498052868393,1.2614646870771438e-06,0.23300147105089328,66,55,0.03252465801530863,513,211,COMPLETE
222,222,0.26413352211898167,2023-06-10 18:40:27.667592,2023-06-10 18:40:27.797163,0 days 00:00:00.129571,0.9235679226754823,3,0.9578322886641811,1.2680531478981471e-06,0.05242539726308139,0.265333309810115,91,84,0.05539571230147574,380,230,COMPLETE
2689,2689,0.2643410342680352,2023-06-10 18:49:13.214376,2023-06-10 18:49:13.603605,0 days 00:00:00.389229,0.9481529912293567,5,0.9552922102771932,0.003147272754177191,0.12550239934895288,0.2999343729053692,58,69,0.0620641882493907,443,216,COMPLETE
3991,3991,0.2648637406912385,2023-06-10 18:59:16.581975,2023-06-10 18:59:17.162248,0 days 00:00:00.580273,0.9222308019442821,6,0.6913084642994022,0.001014293005706046,0.0002116971241433679,0.299041133333868,35,64,0.0983015626772646,509,202,COMPLETE
4948,4948,0.2650217628891756,2023-06-10 19:09:11.878028,2023-06-10 19:09:12.680569,0 days 00:00:00.802541,0.9484151067222475,6,0.9996378687438878,1.936180139670201e-06,2.4415084541637382e-05,0.29969148283015157,67,55,0.05265106061371593,323,201,COMPLETE
4845,4845,0.26526371608580923,2023-06-10 19:07:58.605477,2023-06-10 19:07:59.283587,0 days 00:00:00.678110,0.9528866452040075,3,0.6385671274446049,2.467282008327595e-07,0.007964503096176481,0.26070767050817234,60,68,0.061915724289633975,626,207,COMPLETE
2713,2713,0.26538676064559075,2023-06-10 18:49:22.172233,2023-06-10 18:49:22.620994,0 days 00:00:00.448761,0.9374196012291715,5,0.93409251229734,0.00012171154441030511,0.1662919249287164,0.2999777793620185,65,74,0.04939764851338662,463,218,COMPLETE
61,61,0.2654985268822717,2023-06-10 18:40:14.340305,2023-06-10 18:40:14.479789,0 days 00:00:00.139484,0.9478061802703697,3,0.9074298395006616,5.443753824575526e-06,0.19910143213780984,0.2931242106504207,60,84,0.06024765426998657,365,225,COMPLETE
224,224,0.26563547892082345,2023-06-10 18:40:27.869717,2023-06-10 18:40:27.988164,0 days 00:00:00.118447,0.9509141552462486,6,0.975338625103696,3.117141035540422e-08,1.6470008913549032e-08,0.2605979804572499,92,83,0.05261599374110325,384,237,COMPLETE
3667,3667,0.26577518347108403,2023-06-10 18:56:26.681904,2023-06-10 18:56:27.233809,0 days 00:00:00.551905,0.9311650740950806,6,0.6638139462333597,1.3498619857034514e-08,0.0007949785814348161,0.2992978560985576,59,66,0.07004788896665223,458,184,COMPLETE
4960,4960,0.2661360426896521,2023-06-10 19:09:19.901126,2023-06-10 19:09:20.695108,0 days 00:00:00.793982,0.9421618179316246,7,0.7463893754227142,0.06219342866261254,0.009941450512299787,0.2999233384348014,74,63,0.017006014800793737,524,202,COMPLETE
2356,2356,0.2661764246102809,2023-06-10 18:47:15.770069,2023-06-10 18:47:16.271526,0 days 00:00:00.501457,0.9388435131613138,2,0.9089364416181916,0.025382750830430408,0.6922031987470788,0.2581974653104904,58,77,0.05331801244462488,410,135,COMPLETE
180,180,0.2664353130575454,2023-06-10 18:40:24.185433,2023-06-10 18:40:24.299556,0 days 00:00:00.114123,0.9229944631047351,3,0.9132077480204799,3.9735473984583946e-07,0.31179786288894157,0.296420831458566,63,67,0.058460310572935506,432,241,COMPLETE
284,284,0.2671958020747474,2023-06-10 18:40:32.812787,2023-06-10 18:40:32.938149,0 days 00:00:00.125362,0.9637527518065825,1,0.9906235540547592,4.82264087507686e-07,0.7638930912375411,0.2182398342199534,68,67,0.044981352244531606,439,146,COMPLETE
