,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
87,87,0.264036413630406,2023-06-10 17:47:02.416958,2023-06-10 17:47:02.546306,0 days 00:00:00.129348,4,0.7384383269307777,2.263677771563148e-06,9.963753592624193e-08,0.19985660629299543,102,26,0.037047522144125794,604,173,COMPLETE
204,204,0.2642976711978082,2023-06-10 17:47:11.796216,2023-06-10 17:47:11.936154,0 days 00:00:00.139938,3,0.8445098518415743,6.92733154025e-07,2.3537088085522953e-06,0.21524714789956761,181,11,0.041779496091502576,627,145,COMPLETE
4276,4276,0.2643034991496046,2023-06-10 18:06:16.109228,2023-06-10 18:06:16.693734,0 days 00:00:00.584506,4,0.9150819355845062,0.00045009431467949915,2.9311062007482676,0.29956614531171105,78,10,0.07255980179105966,627,163,COMPLETE
1832,1832,0.2647476096565221,2023-06-10 17:51:08.647457,2023-06-10 17:51:08.961959,0 days 00:00:00.314502,7,0.7032007996842438,2.725586499127623e-08,1.9458500065043217e-06,0.2631805512741641,146,15,0.07804023538594582,621,9,COMPLETE
1491,1491,0.2653731082632256,2023-06-10 17:49:57.990247,2023-06-10 17:49:58.221744,0 days 00:00:00.231497,4,0.9585333778961308,3.5132653648937684e-06,0.00031843789922980176,0.2996563267050307,177,16,0.09248272692771639,562,245,COMPLETE
101,101,0.2655294255177575,2023-06-10 17:47:03.589589,2023-06-10 17:47:03.718281,0 days 00:00:00.128692,5,0.7858829256995931,1.973373985672632e-05,1.5834041386680242e-07,0.1677108808987797,116,25,0.04381643344820383,444,126,COMPLETE
1063,1063,0.2655584160040958,2023-06-10 17:48:47.365271,2023-06-10 17:48:47.544417,0 days 00:00:00.179146,7,0.8725418059410888,2.742110249435863e-08,1.8736405384372266,0.29865783663744644,149,12,0.03105921316493753,597,177,COMPLETE
22,22,0.2656756107346682,2023-06-10 17:46:57.951146,2023-06-10 17:46:58.069762,0 days 00:00:00.118616,3,0.6718505558552635,1.2147559901809614e-05,3.74295805433812e-07,0.139412280932334,109,15,0.03821553757624999,628,83,COMPLETE
1402,1402,0.2669456382921241,2023-06-10 17:49:41.522569,2023-06-10 17:49:41.758698,0 days 00:00:00.236129,4,0.9998480109914629,9.685056371502899e-06,2.919104272746756e-06,0.2983344176481112,164,15,0.03272486797262511,540,239,COMPLETE
1437,1437,0.26703706345379685,2023-06-10 17:49:48.077138,2023-06-10 17:49:48.326789,0 days 00:00:00.249651,4,0.974753225244247,1.6057463921765026e-07,2.2310972115386027,0.22705033682881143,189,10,0.022614258400197356,624,187,COMPLETE
623,623,0.2672615183501349,2023-06-10 17:47:50.880057,2023-06-10 17:47:51.027670,0 days 00:00:00.147613,3,0.8279453587751657,0.0002837919319679197,1.622537999257678,0.2060869683658795,105,10,0.039848282729246,622,71,COMPLETE
